City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Lichuan,CN,30.3,108.85,56.89,96,31,1.63,scattered clouds
182,San Quintin,MX,30.4833,-115.95,71.89,66,0,16.51,clear sky
183,Thompson,CA,55.7435,-97.8558,57.36,77,75,16.11,broken clouds
184,Mahebourg,MU,-20.4081,57.7,70.09,56,40,6.91,scattered clouds
185,San Miguel Chicaj,GT,15.1,-90.4,84.7,84,63,2.1,broken clouds
186,Kawalu,ID,-7.3817,108.2082,70.7,95,76,1.01,broken clouds
187,Padang,ID,-0.9492,100.3543,75.25,84,98,3.51,overcast clouds
188,Togur,RU,58.3631,82.8265,35.73,98,100,6.51,overcast clouds
189,Severo-Kurilsk,RU,50.6789,156.125,50.59,87,99,16.64,overcast clouds
190,Kaitangata,NZ,-46.2817,169.8464,53.24,62,55,4.7,broken clouds
191,Kalabo,ZM,-14.97,22.6814,72.09,27,43,5.77,scattered clouds
192,Kondinskoye,RU,59.6481,67.41,35.91,97,100,13.11,overcast clouds
193,Santa Isabel,BR,-23.3156,-46.2214,74.5,91,9,3.29,clear sky
194,Vagur,FO,61.4732,-6.8119,52.05,89,9,13.47,clear sky
195,Zhigansk,RU,66.7697,123.3711,29.48,86,13,10.58,few clouds
196,Verkh-Chebula,RU,56.0308,87.6218,40.01,89,80,7.05,broken clouds
197,Batagay,RU,67.6333,134.6333,28.83,84,76,3.04,broken clouds
198,Nanpiao,CN,41.0982,120.7479,61.02,96,100,17.18,moderate rain
199,Cherskiy,RU,68.75,161.3,30.92,57,53,7.27,broken clouds
200,Puerto Escondido,MX,15.85,-97.0667,86.83,58,40,4.61,scattered clouds
201,Kihei,US,20.785,-156.4656,87.82,63,40,23.02,scattered clouds
202,Tual,ID,-5.6667,132.75,79.93,81,74,18.05,broken clouds
203,Chuy,UY,-33.6971,-53.4616,61.57,98,100,8.52,overcast clouds
204,Sao Joaquim,BR,-28.2939,-49.9317,59.74,96,43,3.47,scattered clouds
205,Xuddur,SO,4.1213,43.8894,72.16,79,76,17.96,broken clouds
206,Vanimo,PG,-2.6741,141.3028,80.71,77,100,4.59,light rain
207,Duku,NG,11.2361,4.9073,75.07,89,55,2.19,light rain
208,Punto Fijo,VE,11.6956,-70.1996,84.04,66,6,19.57,clear sky
209,Olean,US,42.0776,-78.4297,74.08,63,1,3.44,clear sky
210,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,0.0,few clouds
211,Grimshaw,CA,56.1834,-117.6027,56.01,50,75,13.8,broken clouds
212,Tuensang,IN,26.2833,94.8333,66.83,99,23,2.21,few clouds
213,Chipinge,ZW,-20.1883,32.6236,52.54,77,4,3.78,clear sky
214,Longyearbyen,SJ,78.2186,15.6401,39.04,93,75,2.3,broken clouds
215,Benguela,AO,-12.5763,13.4055,70.03,85,51,4.12,broken clouds
216,Grindavik,IS,63.8424,-22.4338,48.67,100,90,25.32,light intensity drizzle rain
217,Alexandria,EG,31.2156,29.9553,80.56,78,0,5.75,clear sky
218,Constitucion,CL,-35.3333,-72.4167,50.54,81,2,14.2,clear sky
219,Palm Coast,US,29.585,-81.2078,82.0,73,100,7.0,overcast clouds
220,Yumen,CN,40.2833,97.2,64.96,20,3,7.83,clear sky
221,Rongcheng,CN,30.634,117.8517,69.42,97,100,4.74,heavy intensity rain
222,Buckeye,US,33.3703,-112.5838,102.6,19,0,9.22,clear sky
223,Camargo,MX,27.6667,-105.1667,90.64,19,15,0.65,few clouds
224,Argelia,CO,2.2556,-77.2488,68.13,94,80,3.44,light rain
225,Narsaq,GL,60.9167,-46.05,43.02,85,70,3.0,broken clouds
226,Orel,RU,52.9658,36.0803,48.72,97,100,9.19,overcast clouds
227,Petatlan,MX,17.5167,-101.2667,91.2,72,56,2.77,broken clouds
228,Warmbad,NA,-28.45,18.7333,50.83,68,0,8.93,clear sky
229,Kununurra,AU,-15.7667,128.7333,73.38,83,7,2.3,clear sky
230,Ouargaye,BF,11.5033,0.0572,77.74,81,40,8.01,scattered clouds
231,Hinton,CA,53.4001,-117.5857,53.64,38,100,7.78,overcast clouds
232,General Roca,AR,-39.0333,-67.5833,64.8,27,61,10.27,broken clouds
233,Neryungri,RU,56.6709,124.6491,41.34,66,98,0.74,overcast clouds
234,Xinyu,CN,27.8043,114.9334,74.34,93,35,9.04,scattered clouds
235,Alyangula,AU,-13.8483,136.4192,71.47,83,40,3.44,scattered clouds
236,Saskylakh,RU,71.9167,114.0833,28.35,93,100,4.94,overcast clouds
237,Lincoln,US,40.8,-96.667,90.12,46,93,7.0,overcast clouds
238,Tuatapere,NZ,-46.1333,167.6833,54.82,72,49,10.13,scattered clouds
239,Pevek,RU,69.7008,170.3133,30.76,74,93,6.71,overcast clouds
240,Agaro,ET,7.85,36.65,58.26,96,29,1.97,scattered clouds
