City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Butaritari,KI,2021-09-19 17:21:02,3.0707,172.7902,82.87,63,100,15.82
121,Bridlington,GB,2021-09-19 17:21:03,54.0831,-0.1919,66.88,95,100,6.6
122,Ambilobe,MG,2021-09-19 17:21:03,-13.2,49.05,74.16,83,97,4.16
123,Alofi,NU,2021-09-19 17:20:17,-19.0595,-169.9187,73.29,94,30,2.3
124,Qaanaaq,GL,2021-09-19 17:21:03,77.484,-69.3632,19.53,89,98,5.35
125,Saint-Francois,FR,2021-09-19 17:21:03,46.4154,3.9054,58.48,94,90,5.75
126,Necochea,AR,2021-09-19 17:21:04,-38.5473,-58.7368,63.72,74,70,16.51
127,Khilok,RU,2021-09-19 17:21:04,51.3674,110.4676,48.56,93,62,3.38
128,Deputatskiy,RU,2021-09-19 17:21:04,69.3,139.9,16.39,95,99,6.4
129,Khash,IR,2021-09-19 17:21:05,28.2211,61.2158,77.9,17,0,8.75
130,Broome,US,2021-09-19 17:21:05,42.2506,-75.833,72.7,55,1,1.99
131,Penzance,GB,2021-09-19 17:21:05,50.1186,-5.5371,63.28,76,65,13.44
132,San Patricio,US,2021-09-19 17:21:06,28.017,-97.5169,92.88,46,0,2.59
133,Sitka,US,2021-09-19 17:21:06,57.0531,-135.33,51.69,87,90,0.0
134,Luderitz,NA,2021-09-19 17:21:06,-26.6481,15.1594,57.92,79,0,11.81
135,San Cristobal,VE,2021-09-19 17:21:06,7.7669,-72.225,84.38,43,71,4.92
136,Yar-Sale,RU,2021-09-19 17:21:07,66.8333,70.8333,33.12,97,100,20.85
137,Port Alfred,ZA,2021-09-19 17:20:24,-33.5906,26.891,62.65,85,88,12.41
138,Lumut,MY,2021-09-19 17:21:07,4.2323,100.6298,75.56,94,40,4.61
139,Sao Filipe,CV,2021-09-19 17:20:18,14.8961,-24.4956,81.97,78,40,11.79
140,Bonavista,CA,2021-09-19 17:21:07,48.6499,-53.1147,59.11,96,100,13.85
141,Rapid Valley,US,2021-09-19 17:16:43,44.0625,-103.1463,84.33,27,1,1.01
142,Meulaboh,ID,2021-09-19 17:20:12,4.1363,96.1285,73.06,96,100,4.23
143,Wollongong,AU,2021-09-19 17:19:39,-34.4333,150.8833,56.95,65,0,7.34
144,Sao Raimundo Das Mangabeiras,BR,2021-09-19 17:21:08,-7.0219,-45.4811,102.16,17,30,6.38
145,Hami,CN,2021-09-19 17:21:08,42.8,93.45,75.51,17,0,4.03
146,Mezica,SI,2021-09-19 17:21:08,46.5214,14.8544,65.71,86,99,3.42
147,Conde,BR,2021-09-19 17:21:08,-7.2597,-34.9075,83.66,58,20,13.8
148,Mitsamiouli,KM,2021-09-19 17:21:09,-11.3847,43.2844,77.29,61,20,12.66
149,La Paz,BO,2021-09-19 17:16:36,-16.5,-68.15,58.98,33,75,9.22
150,Kismayo,SO,2021-09-19 17:21:09,-0.3582,42.5454,77.45,82,23,19.17
151,Ust-Kachka,RU,2021-09-19 17:21:09,58.006,55.6725,41.29,65,99,7.83
152,Santa Rosa,PH,2021-09-19 17:21:10,14.3122,121.1114,78.12,88,100,2.62
153,Te Anau,NZ,2021-09-19 17:21:10,-45.4167,167.7167,38.14,94,87,3.2
154,Nampula,MZ,2021-09-19 17:21:10,-15.1165,39.2666,68.31,48,8,5.93
155,Vodnyy,RU,2021-09-19 17:21:10,63.5046,53.4095,37.49,77,98,11.07
156,Umm Kaddadah,SD,2021-09-19 17:21:11,13.6017,26.6876,91.54,32,15,6.08
157,Hasaki,JP,2021-09-19 17:18:04,35.7333,140.8333,63.0,69,55,16.58
158,Iqaluit,CA,2021-09-19 17:20:16,63.7506,-68.5145,37.13,70,40,12.66
159,Kulevcha,UA,2021-09-19 17:21:11,46.0303,29.9361,58.62,55,85,16.31
160,Arraial Do Cabo,BR,2021-09-19 17:21:11,-22.9661,-42.0278,78.76,78,20,10.36
161,Aksu,CN,2021-09-19 17:21:11,41.1231,80.2644,77.14,22,0,3.6
162,Ayan,RU,2021-09-19 17:21:12,56.45,138.1667,44.49,58,20,12.21
163,Kahului,US,2021-09-19 17:21:12,20.8947,-156.47,76.26,76,40,9.22
164,Spassk-Dalniy,RU,2021-09-19 17:21:12,44.5978,132.8211,46.44,86,82,5.41
165,Fort Nelson,CA,2021-09-19 17:15:46,58.8053,-122.7002,42.39,93,75,3.44
166,Eltham,NZ,2021-09-19 17:21:13,-39.4292,174.3,50.18,91,71,5.01
167,Khatanga,RU,2021-09-19 17:21:13,71.9667,102.5,31.5,98,100,14.32
168,Cristobal Obregon,MX,2021-09-19 17:21:13,16.35,-93.5333,81.66,70,92,3.51
169,Warwick,US,2021-09-19 17:21:13,41.7001,-71.4162,75.09,54,40,13.8
170,Anadyr,RU,2021-09-19 17:21:14,64.75,177.4833,27.1,100,40,6.71
